0	0	0	16	16
1	16	0	32	16
2	32	0	48	16
3	48	0	64	16
4	64	0	80	16
5	80	0	96	16
6	96	0	112	16
7	112	0	128	16
8	128	0	144	16
9	144	0	160	16
10	160	0	176	16
11	176	0	192	16
12	192	0	208	16
13	208	0	224	16
14	224	0	240	16
15	240	0	256	16
16	256	0	272	16
17	272	0	288	16
18	288	0	304	16
19	304	0	320	16
20	320	0	336	16
21	336	0	352	16
22	352	0	368	16
23	368	0	384	16
24	384	0	400	16
25	400	0	416	16
26	416	0	432	16
27	432	0	448	16
28	448	0	464	16
29	464	0	480	16
30	480	0	496	16
31	496	0	512	16
32	512	0	528	16
33	528	0	544	16
34	544	0	560	16
35	560	0	576	16
36	576	0	592	16
37	592	0	608	16
38	608	0	624	16
39	624	0	640	16
40	640	0	656	16
41	656	0	672	16
42	672	0	688	16
43	688	0	704	16
44	704	0	720	16
45	720	0	736	16
46	736	0	752	16
47	752	0	768	16
48	768	0	784	16
49	784	0	800	16
50	800	0	816	16
51	816	0	832	16
52	832	0	848	16
53	848	0	864	16
54	864	0	880	16
55	880	0	896	16
56	896	0	912	16
57	912	0	928	16
58	928	0	944	16
59	944	0	960	16
60	960	0	976	16
61	976	0	992	16
62	992	0	1008	16
63	1008	0	1024	16
64	1024	0	1040	16
65	1040	0	1056	16
66	1056	0	1072	16
67	1072	0	1088	16
68	1088	0	1104	16
69	1104	0	1120	16
70	1120	0	1136	16
71	1136	0	1152	16
72	1152	0	1168	16
73	1168	0	1184	16
74	1184	0	1200	16
75	1200	0	1216	16
76	1216	0	1232	16
77	1232	0	1248	16
78	1248	0	1264	16
79	1264	0	1280	16
80	1280	0	1296	16
81	1296	0	1312	16
82	1312	0	1328	16
83	1328	0	1344	16
84	1344	0	1360	16
85	1360	0	1376	16
86	1376	0	1392	16
87	1392	0	1408	16
88	1408	0	1424	16
89	1424	0	1440	16
90	1440	0	1456	16
91	1456	0	1472	16
92	1472	0	1488	16
93	1488	0	1504	16
94	1504	0	1520	16
95	1520	0	1536	16
96	1536	0	1552	16
97	1552	0	1568	16
98	1568	0	1584	16
99	1584	0	1600	16
100	1600	0	1616	16
101	1616	0	1632	16
102	1632	0	1648	16
103	1648	0	1664	16
104	1664	0	1680	16
105	1680	0	1696	16
106	1696	0	1712	16
107	1712	0	1728	16
108	1728	0	1744	16
109	1744	0	1760	16
110	1760	0	1776	16
111	1776	0	1792	16
112	1792	0	1808	16
113	1808	0	1824	16
114	1824	0	1840	16
115	1840	0	1856	16
116	1856	0	1872	16
117	1872	0	1888	16
118	1888	0	1904	16
119	1904	0	1920	16
120	1920	0	1936	16
121	1936	0	1952	16
122	1952	0	1968	16
123	1968	0	1984	16
124	1984	0	2000	16
125	2000	0	2016	16
126	2016	0	2032	16
127	2032	0	2048	16
128	2048	0	2064	16
129	2064	0	2080	16
130	2080	0	2096	16
131	2096	0	2112	16
